infindenty	infinity
fourty	forty
naah	no
loig	loic
bunghole	ass
akeelez	achilles
nard	faecies
netch	betch
biznitch	bitch
biznitch	business
jum	jump
vigger	wigger
constantino	faggot
shizlaz	shit
privledge	privlege
nigler	nigger
cornfused	confused
mufu	motherfucker
eximius	extraordinary
ramald	noob
bedincter	remainder
plez	please
negative	no
shank	fuck
boolit	bullet
wtfun	wtf
shamboozled	horny
gey	gay
whatever	aight
elops	hi
pakies	pakis
dru	drunk
indices	power
soz	sorry
tac	fresh
fayle	fail
panazia	penis
rucksack	backpack
rucksack	testicles
whillo	pussy
reddart	retard
biznatch	bitch
sisi	girls
defiantly	definitely
weach	food
dufus	doofus
flatulence	fart
mawfucka	motherfucker
kehd	kid
nuu-uh	uh
ijit	idiot
t-give	thanksgiving
mordor	vagina
slagkick	physic
bub	friend
stephine	stephanie
cutlet	vagina
hawker	hacker
stroupe	giant
nigger	naggers
patica	pathetic
jehova	jehova
bizmotch	bitch
bizmotch	bitch
starbux	alcohol
mteto	idiot
cleshay	cliche
jelous	jealous
waome	awesome
masta	master
ranadoo	rachet
hoot	hooter
stupis	stupid
never	bullshit
pferin	chill
sercisly	seriously
cunt	pussy
didgits	digits
moiche	great
manan	awesomeness
theater	theatre
shizzit	shit
poopsed	fart
split	stuff
bibles	drugs
creaking	masturbation
geet	git
kasodia	quesadilla
bi-standard	bystander
pinis	penis
shizzle	shit
jiff	cocaine
chucherz	cool
shite	shit
tacondas	boobs
balake	pussy
schlib	sh!t
shyela	physcadellic
speel	cool
garden	gadren
noogle	snuggle
discoquik	cocaine
kudos	congratulations
fetchin	cool
pepsi	lol
shent	shit
iidot	idiot
kimo	chemotherapy
lickami	fuck
flower	faggot
sowwy	sorry
prieee	pretty
alkeehol	alchohol
dwag	drag
bovice	novice
dink	penis
wak	cock
comet	cocaine
doggo	dog
slerg	slut
nyukka	nigga
legitsky	legitimate
nizzel	nigger
toates	balls
clicks	cliques
bollicks	bollocks
awexome	awesome
pushi	pussy
shtuu	shit
pedanticism	pedantry
braud	bitch(s
homegirl	homeboy
jsik	fyi
hey	hello
nikka	nigger
riche	righteous
wiffy	wifi
braja	brother
cherrios	cheerioes
ksil	god
babb	kebab
pokeman	pokemon
moffatz	nigga
dumb-stick	penis
prs	pls
nonce	paedophile
cunt	pussy
nais	nice
mumparra	idiot
katchow	yeah
adut	flatulence
phenon	phenomenon
lamo	lmao
blin	blyat
jiggabitch	steal
proper	loads
heck	hell
bioch	bitch
co-inky-dinky	coincidence
rilla	gorilla
peentoo	penis
pistolvania	pennsylvania
gah	god
alooba	sexy
hopth	hop
chaw	cool
peeny	penis
chapsel	haircut
bish	bitch
pessy	penis
pritz	fart
shmiguit	cigarette
u4ia	euphoria
rekd	destroyed
joccer	joker
mandilon	whipped
ananas	pineapple
tutti	shitttt
shikabane	corpse
rivvy	party
woobiddy	nipple
deyker	cake
raifan	vagina
sapphin	stealing
maybe-perhaps	no
shas/sha's	shes"/
s8n	satan
scrabies	scabies
origonal	original
drunck	drunk
patrik	patrick
s'pose	suppose
noobish	noob
hoodnight	goodnight
tringle	triangle
chinzan	puberty
soff	soft
shakin'	cool
ak	awkward
sluore	sluore
mumfo	mofo
doi	marijuana
pipsi	penis
mambit	vagina
feminista	feminist
schiznett	shit
fehg	fag
cisoc	cisco
bludda	potatoe
cobber	mate
diddle	penis
haler	hello
undershoes	socks
forgettory	forgettery
pusnanijay	vagina
daiz	daiz
helars	hilarious
monkies	penis
booty	ass
skettios	spaghettios
kewleo	cool
fleja	hoe
magdar	spunk
neato	neat
wickle	little
lapytopy	laptop
errone	everyone
qweg	queer
diba	homosexual
cawkward	cockward
phwore	phwoar
pzeoples	peoples
lede	lead
yock	cock
ntus	nuts
shit	poop
chit	shit
tax	porking
hobase	wow
indode	indeed
buj	bud
hayeet	laughing
hayeet	oh
chaiba	green
con	convict
dujbag	douchebag
quiffle	sneeze
aedan	aidan
manches	mansex
padauza	whore
godo	good
rawk	rock
crumpit	cracker
mkay	okay
bwai	boy
xoferif	firefox
strams	smarts
watchay	wachay
micromaphone	microphone
deezy	damn
issues	problems
jambon	ham
indiana	indian
simularities	similarities
procrastinator	slacker
cuntos	cunt
coolionimbus	kool
godo	good
soup	money
aye	hello
larid	lard
school	prison
ferigorator	fridge
arnus	anus
gaugau	ok
comp	competition
chout	cum
chicken	weed
sklitznatch	marijuana
shiish	shush
tara	goodbye
boonami	punani
shat	shit
pake	grandfather
phubb	phub
upil	booger
pikachu-like	awesome
vajoober	vagina
cekks	sex
cekks	sex
ciggie	cigarette
doyo	dumbass
ecsactly	exactly
dodge	dodgey
broddy	brother
hamza	cunt
challah	holla
crispy	cool
dunja	awesome
blast	cocaine
pawzers	paws
police	cool
police	cool
yeah!	yes
yadidiskeet	yadidimean
lrc	library
exceedingly	very
lewlies	lol
intercourse	sex
skull	head
n4p	noob
ka-niggit	knight
shite	shit
shite	shit
grass	marijuana
netty	toilet
pendajo	pendaho
wrond	wrong
darya	daria
fridge	cool
utong	nipple
shwaziza	sure
biotech	bitch
swiznit	sweet
ciik	cool
wooh	woo
moneynaire	millionaire
teletube	television
sluzzy	slut
awesomefulicious	awesome
coinquidinq	coincidence
allo	hello
pederass	pederast
alkie	alcoholic
gadren	garden
ding	dick
fuk	fuck
gayzbo	gazebo
neeps	no
fucktardbitchwhorebasket	snake
wytch	witch
shiawase	happiness
jajang	vagina
noodle	bex
lurls	lols
schmalcohol	alcohol
buck	fuck
uqh	ugh
yezz	yes
lollums	lol
fux0r	fuck
scafe	safe
fellers	fellows
vesscht	bitch
gigalo	gigolo
mrokar	penis
nub	noob
cords	clothes
sun	clit
chod	poo
wogman	nigga
tinkie	toes
bhillin	chillin
baruved	drunk
spamtastic	cool
ach	ok
crandulation	cr*p
bwisetary	anniversary
mari	maricon
blob	blog
p0rn	porn
dicklejuice	cum
nellison	gay
stubble	period
chur	ass
mly	perfection
noinch	annoyance
bizaaaaaatch	bitch
shiiieeet	shit
plox	please
bertz	beer
metchul	metal
kakababa	shit
faggot	fagot
g3y	gay
gaand	ass
straya	australia
nofink	nothing
lolgoats	lol
biatch!	bitch
fasha	fersure
feez	fuck
shweepy	sleepy
nunpluxxd	nonplussed
knowsy	nosey
vindow	window
thst	that
troig	foig
gawld	gold
m0nkey	booty
butch	bitch
evo	evolution
godermän	good
nez	nose
madt	mad
plagurism	plagiarism
vampyr	vampire
water	pussy
nipperkin	cold
gazoontight	gesundheit
shite	shit
toodz	toodles
qwerm	cool
acreat	accurate
britney	vagina
dayud	dad
hawt	hot
hawt	hot
furg	fag
at	lol
geya	gear
caaak	cock
retart	retard
memoe	mommy
g-tar	guitar
sejt	epic
blazak	blazek
pornu	porn
herbage	weed
asshat	asshole
starfishery	yaoi
treachy	treacherous
turrible	terrible
ja	yes
keesy	kiss
chantee	perfection
jip	cum
yexcy	text
eb	marijuana
cramemwrt	crepemyrtle
shitcicle	shit
jizznat	stuff
awesomnal	awesome
jerf	jerk
spodey	bold
jenius	genius
differentiate	difference
sarr'mate	sorry
suapreze	surprise
suapreze	suprise
kuow	cow
crick	crack
pinus	penis
dseeamn	damn
bizzert	dessert
izlam	islam
cafl	lol
orsim	awesome
orsim	awesome
ubenscrued	subaru
wiger	wigger
luff	love
hambrouko	hamburger
risembool	resembool
streblo	lobster
rawh	cool
idiotity	idiots
nuh'um	nothing
enzo	repost
poopoo	poop
podner	partner
wiw	wow
ritit	dummy
bitach	bitatch
pootsa	penis
ni2xger	nigger
waatahhh	water
plug	tampon
baroogadega	watermelon
peices	peace
sodomy	anal
holey	holy
holey	hole
chopo	head
stoop	stupid
enzed	nz
nub	noob
booty-down	ghetto
chaka	cuvva
carm	calm
broin	borin
kushty	fat
goergia	georgia
amigo	pedophile
randola	random
splasion	everything
rassahola	asshole
shoowoo	ayeee
conveniency	convenience
sibar	sivar
mikki	dick
pissa	dick
scrumtrulucent	cool
ahhy	hello
negreaux	wigger
shatt	shit
hiruma	devil
goregous	gorgeous
thanksss	thanks
tadgers	boobies
meekrat	meerkat
yeet	true
hallodio	hello
greetings	hello
knapp	yes
brevor	trevor
screeze	screen
tk	telekinesis
ryce	rice
dumby	dummy
jur	penis
nuckka	nigga
wurd	hey
pooniedorz	pooned
kroakers	croakers
schnoppa	cops
yad	day
pahorn	pussy
gorl	girl
yea	yeah
lorftdun	tennis
kikoi	lol
kewal	cool
fyerk	fuck
bert	bitch
herro	hello
system	body
bush	busch
skam	idk
numbchuck	numchuck
mcsmackwrap	mcsmakrap
kinkykins	kinky
no	yes
bo-jaggit	faggot
tigel	legit
snowdenlawrence	penis
analisis	analysis
fotch	face
pinkles	pimples
umg	omg
ty-cunningham	awesome
tree	marijuana
afym	brb
bastahd	bastard
jawz	jizcum
weech	penis
dorifto	drift
shaz	coke
kazunt	cunt
mumsy	mummy
putitang	pussy
bauks	blowjob
shmell	smoking
bubbage	cleavage
minor	fine
nooce	nice
shfnx	thanks
pootzoo	cock
tennekey	tenneesse
frasha	father
pze	peace
ting	thing
ballsac	ballsack
theater	theatre
ignant	ignorant
yl8	bye
tember	temper
pasychic	psychic
cunie	cute
pie	ganja
gouuuda	good
flowies	flower
ja	yes
cob	money
nuffink	nothing
hi	hello
croop	shit
huggles	hug
franch	ranch
trixty	tricky
nizzle	nice
scheeaauunn	sure
siomply	simply
lulz	lol
afrotastic	fantastic
chris	homosexual
dwink	drink
quezal	quetzal
beez	bitch
codswappled	confused
minimalistic	minimal
knulle	fuck
lawl	lol
spramp	screwed
wishaw	tousche
clbuttic	classic
poutsa	penis
fax0r	hax0r
bebi	baby
profesh	professional
hoshi	star
turn	turnabout
laahnge	lounge
mern	man
rukt	rekt
brillin	chillin
famacious	great
stat	statutory
densafiss	dentist
puskar	vagina
wrath	penis
seh	sex
bitch	hoe
shoveling	fingering
otay	otay
tetrahedracannabol	cannabis
lexdysia	dyslexia
crisp	chip
nibber	nigger
cowzilla	crap
'coon	raccoon
gubgub	awesome
godamn	goddamn
shacoins	money
goodness	good
moopet	muppet
moopet	idiot
shizam	shit
skivvin	masturbation
poprack	paraphernalia
turdbass	bastard
conslopis	vagina
scurm	weird
nuu	no
weeab	weeb
sunty	aunty
younf	hurt
pahvert	pervert
blasto!	score
torbat	dappes
morrow	tommrow
toodleydoodleydoo	goodbye
jahmoke	jerk
m8	mate
huni	vagina
ragazza	girl
gaf	house
waome	awesome
neden	pussy
hawt	hot
loal	lol
arsehole	anus
shatta	gangsta
mabas	testicles
grip	bookbag
epec	epic
fortch	beard
spliffer	spliff
hoore	whore
tlhingan	klingon
sophmore	sophomore
cooky	cookie
pirates	parties
o	oh
schave	shave
whickerbill	foreskin
arsenal	arse
pressive	impressive
awthum	awesome
eja	yes
spunk	sperm
chataholic	chatoholic
coolio	cool
sylver	silver
memez	memes
bent	drunk
tgth	thought
poopsie	fart
bolmph	bulmf
francois	faggot
b-i	business
toothy	boothy
mammas	breasts
hilarbear	hilarious
seeza	stupid
shizzim	shit
lightening	lightning
scrillas	money
shite	shit
mop	whore
oranjizz	oranges
h3ii	hell
fuckly	fugly
poal	poll
qual	cool
awesomness	cool
fecker	fucker
persian	iranian
bastard	bitch
balonie	marijuana
cussy	customer
cooter	vagina
martin	beefer
pashoosh	shoosh
novass	novice
unagi	eel
funboxx	vagina
womb@	wombat
poppycock	nonsense
[va-g-jay]	vagina
bullitan	bulletin
dickwine	piss
parlayin	chillin
propz	props
ignant	ignorant
yiz	cocain
shite	shit
tholdu	testicals
kandy	jewelry
wanger	penis
octoberfest	oktoberfest
unda	egg
boer	beer
bulchoy	bullshit
reganism	reaganism
yey	yay
pl0x	please
uph	anything
melk	milk
pr0n	pornography
shet	shit
mmwahh	xxx
pato	gay
client	penis
luvvles	love
everypeoples	everybody
coppers	police
fuine	fine
creepist	creeper
ipitime	epitome
ipitime	epitome
bishwal	cuck
t'serry	cherry
kwain	queen
titsi	shit
p2	farts
pimeape	pineapple
treu	true
ploxity	please
choad	chode
secks	sex
secks	sexy
ubersauce	like
kuhle	cool
disect	dissect
nibba	nigger
undie	underwear
kk	ok
freaque	freak
gual	girl
tentacool	cool
pansexual	bisexual
yepsiroo	yes
squnicata	whore
swaish	sweet
mekos	skeet
stoyko	idiot
budden	button
pope	weed
lass	girl
bus	bust
toob	tube
fruko	scary
congradulate	congratulate
hejo	hello
poitin	poteen
purchayse	purchasing
rawr	roar"2
rawr	roar
psychadelic	psychedelic
skeet	scurt
leyley	mental
stroonz	turd
protege	favorite
lerd	lord
krills	crack
päror	dildo
chea	yeah
msa	suburbs
jazz	cum
pineapple	nigga
jawnie	jawn
mista	mister
nub	penis
nub	love
bbx	beatbox
holmes	homes
schlouse	thumb
burgle	burgler
sec	second
wasster	penis
awesomness	cool
tranger	stranger
dag	cool
sharmini	goat
braz	bro
express	legit
chigz	cigarettes
stoor	dust
inabitch	goodbye
idiotic	stupid
doleder	jew
hikky	lovebite
sniz	shit
hood	home
dietrich	mindfuck
bored	horny
baffle	werd
swept	cool
vajiggle	vagina
teath	teeth
ghasti	prostitute
peroni	methamphetamine
pudd	pussy
ash	ass
westpo	westport
nug	choda
cyka	bitch
sammer	sandwich
locc	crip
men	meh
yayurr	yayuhh
crackers	awesome
broin	groin
brov	bruv
yerrp	yes
kickassitude	awesome
phebe	phoebe
dingus	penis
bichon	mae
doggah	dog
guzi	friend
bihatch	bitch
biljistic	awesome
eeeps!	omg
kahakai	beach
cack	cock
vajeje	vagina
shoi	sure
testiclette	testicle
swee	sweet
oockie	yuck
riteous	cool
cocksplosion	ejaculate
gullet	throat
unkown	unknown
rike	like
waz	speed
ridicols	ridiculous
chear	cheer
matsuri	festival
rah-66	scrap
nigga	nigger
pak	pakistani
lolable	laughable
knucklebone	fisting
accually	actually
gald	gey
toke	smoking
sin	assasin
bonia	cool
rag	crap
pop	soda
mcboi	boi
rasisium	racism
poussoir	vagina
gneiss	nice
bleu	blue
kurac	penis
bread	beer
gimick	thing
haway	hello
lyf	life
bullot	dyslexia
chizle	cocaine
awesome-0	awesome
pubu	fubu
bling	cocaine
cookup	crack
celly	cellmate
triskit	biscuit
dangut	dangit
flimbop	chode
toadler	toddler
comfartable	comfortable2
gargon	lonely
mitor	mister
shtfu	stfu
shtfu	stfu
klass	class
pr0nz	porn
shvet	sweet
magykal	magical
quadrapoligic	quadriplegic
doodoo	poop
sup	soup
illeterate	illiterate
sketwich	sket
utter	penis
pimp	cool
doosh	douche
aquard	awkward
iraqed	invaded
marsh	swamp
nese	ass
dhanika	awesome
chestwaxer	gay
zaykea	cool
pasta	sex
flabbergasted	surprised
guarez	warez
grom	gorn
pretty	rather
pretty	beautiful
gumba	idiot
mozl	lozl
tamal	tamale
ite	aite
taiga	tiger
felacio	blowjob
yheng	penis
cheesing	shoplifting
chara	shit
mariposa	butterfly
doots	dude
pongo	stupid
jables	testicles
tallarific	gay
wuv	love
concieted	conceited
kee	cool
candypants	sweetheart
shellous	jealous
coo	cool
boushwa	bourgeois
nurga	nigga
drawer	artist
slan	goodbye
drippin	killa
phebe	phoebe
ogm	omg
ayahhh	cmonnn
ektaa	slow
yopu	you
snow	cool
recticle	reticle
alcool	alcohol
ginral	general
spanito	spaniard
fajjit	faggot
luckay	lucky
stej	weed
nubtoastie	noob
fione	fine
hingland	england
bith	bitch
jiked	kicked
jubs	tits
pusswa	pussy
spaf	seamen
d	dick
yod	idiot
fockery	crock
butterscotch	bitch
faggod	faggit
girrrrrrrl	girl
early	holla
leighlyan	lillian
cock	penis
affrodisiac	aphrodisiac
surro	sure
rca	rac
cherrios	cheerios
fiad	food
wur	where
cupcakes	marijuana
cutester	presh
lem	lame
eenit	innit
angella	angela
hooker	fisherman
quoaf	quofe
crappie	crappy
abby	stupid
tito	uncle
gillysoose	motherfucker
gotchya	gotcha
yealous	jealous
paktimr	poketime
ottha	f*ck
lenyards	lanyards
fucking	reproduction
squeecho	line
poontang	pussy
edyaat	idiot
twat	what
harlikt	hoe
doz	dossige
bomba	steroids
kabootle	ass
crudhead	shithead
consumation	consummation
consumation	consumption
fuckdidido?	fuck
coglione	asshole
kayawn	nigger
spledid	splendid
neegav	vagina
quay	gay
clambake	teabag
updawg	marijuana
breasts	boobies
phunds	funds
cheble	table
pawn	pwn
pie	weed
fire	awesome
xal	crystal
babble	talk
scrag	slut
fagget	faggot
shooooush	shoooush
pa-lease	please
mandem	friend
fuckstick	moron
snigger	snicker
terodactyl	pterodactyl
crispy	awesome
crispy	awesome
tamar	tomorrow
schnay	nay
katamuki	bent
heim	shit
dicthionary	dictionary
lasagne	sex
nightsuit	pajamas
nubscrub	scrubnub
eikel	acorn
yerrar	error
yuupperoonies	yes
tv	television
boof	homosexual
skizzlez	skills
jaanu	sweetheart
phonation	phone
brahmahala	bro
bish	bitch
snuffalufapus	vagina
keikl	circle
yo	yes
ghesbian	cow
lozozzles	lol
shat	shit
bonks	bonkers
lurvs	love
profolactic	condom
jersey	toilet
naaah	no
toilor	toilet
branedead	brain
geetar	guitar
geetar	guitar
escared	scared
gayspoon	gaylord
xxavier	xavier
hmar	idiot
nought	zero
finee	fine
nicht	night
fairymount	buggery
duj	yo
seung	steve
bai	farewell
cliterally	literally
redonculous	ridiculous
snishy	cute
molenyeux	shit
perf	perfect
fershiznit	fershizzle
chich	homosexual
dao	faggot
losario	loser
akku	weed
boy	penis
mishmoigon	vagina
guzzlepuzzle	bail
kavli	cock
ghey	gay
ffuk	fuck
eeksie	eeks
squegs	shit
fra	bro
harclaver	harclarver
phoniks	crack
thi	si
grody	gross
paüss	p.o.s
shaokay	yeah
khello	hello
hobbit	hoe
incestive	incest
edo	edward
gnarls	gnarly
kicken	amazing
phatting	fart
equivs	equivalent
nab	noob
seminese	semen
biznachen	biznach
scrumdidliumpious	scrumptious
cheetahlicous	bootylicous
nathan	crazy
water	bye
phyralogist	phlyarologist
yhalo	hello
geekozoid	geekazoid
rigs	glasses
majugies	boobs
kio	shit
tricks	things
waid	wade
sandals	acid
seksi	sexy
paltress	pal
mod	weed
pun	punish
dolphinately	definitely
roost	sex
ubleck	toaster
jonnie	condom
piscatarian	pescatarian
spice	hot
briznu	marijuana
mogo	ghetto
chim	cool
pistola	pistol
barangatang	pussy
negbro	negative
dootay	shit
dide	grandad
bobala	sweety
nyeuggah	nigga
vima	perfection
frat	fart
egzon	bacon
sharmini	goat
sundee	sunday
chiaz	cheers
muthaphukka	motherfucker
durzit	duh
yehuh	yeah
wtevz	whateverz
camero	camaro
panera	penis
butti	cigarette
bumsen	fuck
targeé	target
dum	dumb
dum	dry
lauf	love
impermance	impermanence
dorange	cleft
ejit	idiot
hozey	ho
dep	emo
wife	satan
faque	fake
cuss	curse
inify	infinity
awksward	awkward
pish	vagina
ohwowbaby	orgasm
niqqa	nigga
nigrah	nigger
jobbie	shite
chammionchip	championship
yo	hi
choong	chung
smurficate	sufficate
neeyaz	niyuz
aweyum	awesome
yarblockos	testicles
trizzie	threesome
'splode	explode
tallara	rain
jordyn	anal
rubbish	garbage
buh	bitch
inteligent	intelligent
howdilidoodily	hey
gono-gono	gonorrea
rukavac	journal
bewty	booty
yates	yes
house	cool
aah-ite	alright
doperific	terrific
tig	cigarette
caffiene	caffeine
mgay	ok
whatja	whatcha
slay	fuck
brogli	broccoli
dungii	dunnage
xerophilus	xerophilous
acknowlogize	sorry
fgtjewtrd	shit
sozzard	sorry
shet	shit
bizotch	bitch
pernis	penis
hey	hello
hey	hi
gram	instagram
gram	instagram
shiisa	shit
mum	mom
paparia	testicles
choglut	chocolate
skin	lame
b'y	boy
[zeeto]	swagg
biznitch	bitch
alt-facts	bullshit
stupid	retarded
magoo	alcohol
d-head	dickhead
onij	ownage
peelow	pillow
haycorn	acorn
nubby	noob
hooah	whore
scrillas	money
nimsack	nimwod
darlinger	darling
shaqueer	terrorist
upsest	obsessed
frinnie	friend
