misspelt	misspelled
phraqchyre	fracture
mewo	meow
hobit	hobbit
yii	yes
amain	amain
technochocolateland	tenochtitlán
sleepies	sleep
geeko	geek
smrt	smart
butt-head	butthead
pennance	penance
camero	camaro
daiye	day
opi3	opie
grostholomwusous	um
satin	satan
dumbsy	clumsy
bobakoo	bar-ba-que
shibbee	unknown
m33k	mike
qunt	cunt
qir	queer
heeb	hebe
haxx0r	hacker
pwoned	powned
spum	sbum
sbum	spum
[x-mas]	christmas
sped	speed
subzero20	subzero2o
rec	recreation
kuwal	cool
pudekcuf	fuckedup
klass	class
ahve	have
quib	kib
bebeh	baby
husy	hug
rockweiler	rottweiler
bajesus	bajeezus
smeckle	cock
koosh	vagina
pengin	penguin
dashk	jackass
ho-thority	hothority
chieftain	masturbation
modle	model
t00l	tool
bytch	bitch
swoe	cool
k0k	cock
hort	hot
wassoup	wassup
ont	ownt
cume	cum
quel	kewl
fuk	fuck
goog	dork
yse	yes
katifo	ktfo
kewl	cool
effing	fucking
kewl	cool
scantless	scandalous
meglomania	megalomania
stfy	stfu
pheonix	phoenix
eimi	amy
bicth	bitch
esezx	sex
pwn	own
sl00t	slut
farshizzles	fashizzle
rite	right
jobbie	joby
shmegma	smegma
b4	before
snrang	strange
dipstool	dipshit
plaster	band-aid
pmfg	omfg
noncha-lent	nonchalant
pizzowned	pwned
fi	to
weirdulized	weird
chonchie	vagina
prieee	beautiful
pimp-ette	slut
f*ck	fuck
soupizzle	soup
hairies	huh
sugar	kiss
esa	ese
spics	speak
anii	anus
utemite	utmost
buh	buck
fess	fuck
bust	chug
kalobolar	bumbaclot
keet	parakeet
jingles	change
elspara	obese
fuyne	fine
grassyass	gracias
fishtishish	fictitious
turdmeat	turd
boot	boat
maroon	moron
yesca	weed
stuff	condoms
jeebus	jesus
easy	early
yatch	biatch
besin	gypsy
needful	necessary
pinchilada	enchilada
heil	hell
schmurich	nonsense
spreak	spring
dope	maurjauna
hoobies	boobies
jahetto	ghetto
sandnegro	sandnigger
flow	money
confuzzled	confused
poopsies	oops
qualitay	quality
hockets	hockey
roach	cock
peugh	stinky
tempid	tepid
dirf	diss
sogol	goggles
ppl	people
orp	pro
dsw	dirty
papo	papi
blems	cigarettes
shyza	shit
kremble	crap
t-units	tits
wayohh	woah
ossum	awesome
jea	yea
snazzyfizzle	bubbles
azz	ass
morono	moron
n00f	newbie
quizzle	question
ickle	little
katzenjammer	hangover
turry	terry
spaccy	special
pizzimp	pimp
cola	coke
ne	no
chickfy	milfy
monkae	monkey
yais	yes
ninjor	donatello
yog	cum
metrosexual	dandy
swack	fuck
unihorn	unicorn
omgz0r	omgz
burb	brb
coz	because
fack	fuck
gank	weed
sammitz	sandwich
piash	thirst
carnt	cunt
hai	hi
ko	ok
sh!t	shit
bulltwinkle	bullshit
jarratt	olga
podine	police
brewski	beer
sup	supper
kewl	coo
besch	bitch
jiggley	giggy
wo0t	woohoo
nigling	nigger
popularity	conformity
nenita	nenabut
poppit	puppet
tard	retard
bidnite	bitch
kraken	awesomeness
hoonie	vagina
prezacktly	precisely
penne	penis
stafu	stfu
smexy	sexy
f***	fuck
astronaut	ass
jackweed	dipshit
awee	away
tard	retard
spurned	dissed
spiffyness	spiffy
shoot	bye
da	dumbass
kwan	shit
stix	controller
grease	butter
amature	amateur
crut	crud
caf	cafeteria
schist	shit
pax	peace
ass	buttocks
cuz	brother
frrruck	fuck
wilt	quilt
shnucking	fucking
sucky	suck
pwns0rz	pwned
giner	vagina
dojer	weed
jamboogity	cool
sanctimonious	big
beezie	b*tch
wendys	gay
shotty	shitty
spizel	giz
x-pac	gay
imej	image
pachoff	moded
l8z	later
bayad	bad
jeek	dude
fam-a-lams	family
crapp0rz	crap
inky	high
fhht	fuck
lap'd	laparotomy
poseur	poser
assaultr22	loser
bullshecrocky	bullshit
jönx	stuff
azz	ass
relative	cousin
fhht	fuck
barney	poop
barney	poop
momenty	moment
baish	bitch
shukking	fucking
beyotch	bitch
guh	girl
tilses	titties
n00bs	newbie
lards	large
kharabeet	scribbles
spacial	special
smacktard	smackhead
funky	cool
feas	feasible
scheisse	crap
heh	what
ju	you
superheatedliquidcool	extremley
radonkerous	ridiculous
wikkle	little
zomg	omg
cplspls	c++
creationist	dumbass
beginner	noob
ree	really
lovey	horny
upsurd	absurd
paed	paedophile
jankady	ghetto
sweeticus	sweet
leet	elite
byeishness	good-bye
l337	leet
chino	homie
neh	no
inco	incoherent
cooliers	cool
bis-naitch	bitch
faggo	faggot
hep	hepl
lolofus	lol
octqur	awkward
bestest	good
lolz	lol
slummet	slut
chingado	shit
leet	elite
muddie	goth
shboogie	nigger
arena	dome
faag	fag
phuq	fuck
mammilla	breasts
jeebus	jesus
fable	fuckable
p'wned	owned
powned	when
pus	face
guddance	good
profizzle	professor
shirelle	vagina
lwypyp	lol
low-zay	loser
phat	fat
yawb	yawn
nutty	cool
tard	retard
coal	cool
phono	phone
fashugadale	fasho
fantazmo	fantastic
glock	worship
bounce	yayo
raisins	defecation
semiconductors	transistors
dispro	disproportionately
pawnage	owned
premos	pornos
nukalar	nuclear
oken	ok
shnoogie	booger
begs	begginer
biet	viet
kasheesh	cash
ickle	little
fucktud	tud
cheffa	effort
nerble	nipple
hoadsdads	fajitas
mehya	meh
phookaa	fucker
yepperz	yeppers
psoli	cock
obvi	obvious
nooblet	noob
inji	english
grrl	girl
plit	nothing
sarcasticness	sarcasm
jessepees	winter
dwag	dawg
zamazing	amazing
hood	hoodlum
flute	bong
lolz	lol
chiven	chicken
theard	thread
m'kay!	okay
byez	bye
striggity	straight
gary	marijuana
jerko	jerk
barn	barney
smexy	sexy
loink	penis
ftw	wtf
brootal	intense
turdnarded	retarded
x&y	shite
shanksh	thanks
ceck	cock
fisk	fish
poodenda	pussy
taker	goodbye
kneob	noob
tiwangs	hello
sim	best
apposed	supposed
lo	love
naygrum	nayger
cun	cunt
perinium	perineum
grook	school
blagged	ie
republicanist	terrorist
fife	faggot
dwork	dork
gazzi	gauche
olo	lol
riddim	rythm
brownleaf	butthole
lolz	lol
lucas	penis
stig	stigetto
badgewipe	arsewipe
beast	awsome
presh	precious
uncomfortabality	uncomfortable
kumpt	cunt
na	now
waskly	raskly
dwork	dork
k	ak-47
shexiful	sexy
lami	lmao
khnt	cunt
retastic	retarded
gankster	gangster
school	gang
twank	twenty
p00n	pwn
hehehe	hahaha
fecis	feces
gen	genious
sifilus	sif
nooblet	noob
artic	arctic
romfflmmfao	lol
window	marijuana
beans	cum
d-nut	doughnut
d-nut	doughnut
ketzia	slut
s	goodbye
braznat	bro
nab	nub
fack	fuck
newb	noob
terra	earth
douthwright	faggot
feas	feasible
feas	feasible
feas	feasible
fayg0t	fag
bijj	bitch
fanfuckingtastic	fantastic
mit	vomit
gaiy	gay
ediat	idiot
sleki	sick
lami	lmao
doom	dumass
ludic	ludacris
behbee	baby
adolescent	teenager
troglodite	parateq
exactamondo	exactly
parlour	brothel
ark'n	darkness
heller	hello
dhoet	pussy
zomg	omg
walrai	walrus
gees	chicks
shitte	she-ite
fack	fuck
pillaged	raped
update-a-roony	update
cuul	cool
maek	bullshit
lolz	lol
emillio	marijuana
baba	poo
ploz	please
bollox	bollocks
seester	sister
greman	german
twonkage	twonk
hvae	have
cayet	cat
ill-tits	awesome
chachos	chaos
pritzy	beautiful
bye...sicle	goodbye
bageweave	mageweave
protraction	cutting
rummer	summer
gross	disgusting
nooter	nutter
ungas	tanga
luuurve	love
cun	cunt
iot	idiot
bizzle	beaner
sozza	sorry
ybuted	united
roofener	awesome
spaged	spaghetti
amyzing	amazing
kite	kike
beef	issue
[gee]	gangster
dyude	dude
zomg	omg
belgiumish	belgiumise
goog	gag
penos	penis
blurt	blast
coolbeats	true
wiilly	really
sluzza	slut
mabs	maybe
feg	fag
doewg	dawg
dipbag	douchebag
depreciated	deprecated
ponx	punk
fiend	friend
debunked	uncool
gurshmackle	penis
rodile	ridiculous
debunked	uncool
dap	dip
airshit	fart
hornswaggle	penis
pr0n*	porn
former	ex
awesomlicious	awesome
g&t	nigga
fuh	pho
guh	girl
awesomlicious	awesome
fah	fool
jumblefuck	fuck
w?	wtf
spuff	spunk
shilly	silly
cista	christa
fufun	vagina
lolz	lol
tigglebitty	boobs
lesbiand	lesbian
boogerface	shithead
hurlo	hello
slutvision	television
krowned	owned
noculars	binoculars
bamstrad	bastard
blaterz	blatantly
fizzat	fat
mignon	girlfriend
fkn0wned	0wned
jeyeah	ya
iite	alright
farquar	thing
fuckamajigger	thingamajigger
intragnizent	intranssient
snake	owned
jazzing	cummin
backgammon	sex
cherbs	cheers
barb	barbie
ana	anorexia
bumbleezees	weed
confuzzled	confused
soupy	crap
lickle	little
huckapuck	douche
lul	lol
sozzalicious	sorry
elaborate	gay
choad	choda
ites	irie
dojee	weed
badderman	badman
bitchsammich	bitch
book	cool
beauti-fuck	beautiful
breasticlay	breast
honey	pussyjuice
moolaca	slut
huththa	cunt
rool	rule
jahomph	fuck
fagotto	fagot
kdeal	okay
cat	pussy
snezzing	sneezing
confuzzled	confused
geneous	genius
redunckulous	rediculous
woofer	chill
poofeh	whatever
charrr	farewell
hensicle	darn
quinny	20
tym	time
patroned	pwned
racit	racist
tsfu	stfu
cooliano	cool
spriggle	sprig
rasha	blowjob
rowcray	ok
bolyo	bollox
dinks	digs
omanko	vagina
poeno	porno
wii	marijuana
yay-yuh	yeah
lollerpoppin	lollerpopps
heel	hill
yolly	hello
vanini	pussy
bazzangin	hot
aucks	auckland
smee	cigarette
evil	good
deuce	devil
bomp	bomb
dob	tard
strawbs	strawberries
sillioso	silly
madge	cigerette
sanjaya	vagina
purpy	purpose
amezin	amazing
alie	init
sauce	no
benison	twat
rabed	raped
puswaa	pussy
kuel	cool
supposibly	supposedly
yalo	hello
phlarg	fuck
onani	masturbation
assholes	republicans
formular	formula
yupperdoodle	yes
ungry	hungry
antinoon	midnight
syk	sike
mkay	fuck
arcs	ask
rouch	rough
moogly	ugly
bayrabian	bayrab
bayrabian	bayrab
fucj	fuck
alphet	outfit
quuuuuuuuuuuuizzzzzzzz!	quiz
rohrer	roar
bubs	babes
shero	hero
asswad	ass
lidool	little
dzu	yes
willage	village
lerft	left
inkpen	pen
barseman	bossman
gawj	gorgeous
channin'	stuntin
rosies	fatties
gar	yarr
hebs	hebrew
book	cool
'kay	okay
longage	long
lade	lady
lade	lady
smexy	sexy
vsat	slut
sweomde	awesome
neeb'd	inebriated
ghers	awesome
tit	gotta
tivt	gotta
zaffin	lying
fagime	anime
char	cool
head	blowjob
pwnxd	pwned
dots	nipples
ftw	wtf
sha-loenjg	challenge
tard	retard
imber	imbecile
flibbersnibbits	fuck
hospus	hospice
figget	faggot
chron-sauce	pot
laster	later
fualt	masturbation
mischievious	mischievous
plex	floss
scorro	school
chapstick	idiot
stanky	nasty
stanky	nasty
ewwwwj	huge
basecakes	basically
f*ck	fuck
lucy	lunatic
seris	seriously
shaboinka	penis
nubsack	nub
chiss	cheers
råffelpopz	råffel
burgle	steal
fack	faculty
chuggo	prions
coolios	cool
lijke	like
nao	now
barturd	bastard
alex	meatball
vegiterian	vegetarian
base	lame
hatputs	beast
seriouslah	seriously
gone	please
nicely	nice
smigity	sex
g-stawr	gangster
ah-dorable	adorable
yoose	juice
mommy	love
callum	ballchinian
snowbread	hardcore
marzella	wankstain
rambo	intense
freggan	fuck
happy	gay
twampt	beat
quooelio	cool
bogisis	bogus
goozle	throat
pithed	pissed
ser	yes
sorotities	sororities
aced	ace
knasty	nasty
swack	fuck
clamage	gay
dragasaur	dragon
chernin	masterbating
cow	concert
nukka	grandmother
perk	prick
luvb	love
clitoritical	clitorous
trantis	feceas
fack	fuck
worlf	world
silab	gay
cuttitta	dick
flintook	cat
bwatay	booty
nappers	boobs
ellechaar	cool
craylo	crazy
laiph	life
schmootie	people
chesse	sex
whoaz	whoa
repubdubyas	libtard
mcshitetv-f1	shit
working	work
cottage	bed
bummed	disappointed
darothy	dorothy
mainstone	cock
schist	shit
'lo	hello
truck	fuck
turdally	totally
smexy	sexy
yoose	yes
spave	cool
moof	moth
igght	alrite
scoop'n	cool
shweedish	sweet
becca	cunt
freako	pedophile
fardnogger	fartknocker
oobagij	jigaboo
spermbird	penis
carnival	cunt
dunt	doesn
lebanese	lesbian
grapes	weed
ganga	slut
dik	dick
goot	goood
glower	fag
migate	midget
retardationated	dumb
shisternoodle	shit
cushington	marijuana
tizalk	talk
cookie	vagina
vpilf	milf
mextel	nextel
phk	f**k
knuckies	sausage
pazanin	tool
lizo	420
revelance	relevance
spazdog	wazdog
jorka	joker
ezz	peace
binch	bitch
ul'd	uploaded
nimba	nimby
tiggity	tite
lewall	laugh
ossule	arsehole
ja	yeah
puh-lease	please
hønefoss	fitte
zanon	none
toast	toats
yargh	yes
dooh	dude
absofantabolutely	positively
fimmu	cool
rubbery	flexible
verizons	dsl
schmitt's	gay
gaps	gasp
reedik	ridiculous
branned	fucked
utts	utters
verbatum	verbatim
fuked	fucked
chorty	shorty
hmetal	noob
reef	wreath
skittlez	ecstacy
danm	damn
chances	no
faloos	money
'gina	vagina
shaz	stuff
tard	retard
azzizle	ass
moose	whore
vark	vagina
cassachu	cool
beh	bitch
bombigna	coochina
b	baby
odgeda	agita
brohine	bro
gnive	nice
frugs	drugs
herat	heart
nevz	ladz
vividity	vivid
veeno	vagina
beany	cool
bup	boo
feman	shemale
panz	pansy
fribit	bitch
botch	bitch
fretard	retard
chiasta	penis
deox	cool
guyette	guy
goosh	shit
olo	lol
bull	bro
motherflip	motherfuck
broskette	broski
fack	fuck
adoab	idiot
properganda	propaganda
ish	sh!t
yotum	queer
poop	darn
kife	epic
shizzay	shizzle
terrankiller	win
cosby	nigger
klorange	beautiful
gina	vagina
pwntackular	pwn
cork	sex
poops	sucks
aphrodite	titmuncher
wormface	dickhead
obvu	obvi
yike	penis
darn	damn
niyops	nips
manuga	shit
smd	suck
salad	hair-
zeus	epic
obomination	abomination
rawlf	fucked
ka3k	lol
touchhole	asshole
honkydacious	awesome
flintstone	erection
boy	goodbye
wooftnanny	cool
hwott	what
alie	init
supaloni	sup
arbiscartuary	ironic
awesong	awesome
potes	potey
basecakes	basically
janger	ecstacy
karl	faeces
ligy	liege
beforeward	before
kosher	cool
trollox	bolloxbollox
coobuggy	vagina
whatchuthank?!	duh
b-scratch	bitch
nanks	thanks
clunge	vagina
fago	faggit
o-he-o	ohio
brefix	breakfast
hoobacious	hilarious
jes	yes
moine	monk
hai	hi
book	cool
sawf	soft
chank	chink
yo-yo-ing	wanking
rass	joke
nealybabe	pre-ejaculation
competish	competition
lawlerbee	lol
skizz	skill
sanmich	sandwich
bwunny	bunny
fack	fuck
keates	wanker
courtney	beautiful3
cornder	corner
toupie	thigh
lappy	laptop
eppie	episode
ugurvadi	faggot
mhmm	good
keys	car
phrisbee	frisbee
casuap	bastard
smeriouslly	seriouslly
swag	screwed
hungri	hungry
neet	no
ganga	slut
shyx	shy
prop'n	leaning
gretarded	gay
sonething	something
loft	love
yay	yea
buftieful	beautiful
shrimptard	midget
jes	yes
jes	yes
doingin	do-ing
bjeeznips	jesus
turbulation	turbulence
viirika	beautiful
omccp	omg
womp	bad
meek	high
wtb	wtf
tready	treadmill
yittle	little
muzzy	mustache
tatamoons	tampon
ji	mate
fancrappintastic	fantastic
mugf	yeah
coin	money
fruck	fuck
wordicus	word
hokayyy	ok
nomnivore	omnivore
jooz	jews
bish	fish
tge	the
fushing	eating
batfalcon	awesome
smexy	sexy
anyhoodles	anyways
tama	exist
distractified	distracted
trampoo	fuck
craigmazing	amazing
gopee	thing
hai	hi
cock	cake
spital	hospital
yeekay	okay
hawwow	hello
negosh	negotiation
hamster	pussy
trog	fuel
wham	gash
yahoo	fail
heyyaz	hello
koolness	awesome
flurp	fap
flange	vagina
rate	deserve
truck	fuck
gey'h	gay
dut	haha
browzation	browse
sm	lol
singee	single
supposition	assume
appsolutely	absolutely
hdh!	lol
bichon	fuck
shruggles	shrug
rotfuz	roadkill
troth	truth
yayce	yes
fachuade	persuade
yompy	loopy
disgusting	good
ownt	owned
ebsiflutely	absolutely
dynamite	awesome
hayurr	hair
mofosexual	homosexual
wobbly	jell-o
wankulator	wanker
adorbs	adorable
colm	saint
euw	eww
flow	money
ghadsmation	hibernation
bockingham	buckingham
convo	conversation
coppas	police
inaprops	inappropriate
dunn	cunt
parcoeur	parker
craigway	segway
toot	cute
yep	yup
beird	beard
menno	cool
flips	filippinos
stromboli	gay
mug	cup4
toodaloo	goodbye
burb	brb
hoshnov	hi
grassage	grass
flamboyant	gay
preggers	pregnant
beezy	busy
sprouts	testicles
slis	penis
jurk	jerk
animey	anime
bbp	sex
anim	animation
hard	right
chur	sure
jejepticon	jejemons
fokea	fuck
nimber	number
nun-ery	celibate
bsed	bullshitted
cheekkin	chicken
dits	ditto
ghettaciously	ghetto
polgyloaf	bullshit
chitty	shitty
smuv	love
dwag	dawg
cuul	cool
wakka	wicked
shagging	fucking
herrafendite	hermaphrodite
leg	blunt
togets	together
lml	lol
chigro	chigger
chanello	chanel
pussary	uterus
dunkif	fuck
kuyf	shit
fuzzeh	fuzzy
fantabeaulicious	fantabulicious
rode	road
credible	legit
moda	tomorrow
inventitive	inventive
thou	thousand
bishmash	birthday
quake	manwhore
diamond	bellend
ploe	plow
swhy	why
book	cool
bike	spuffy
fack	fuck
by	eh
jive	fucking
lulsy	lols
lulsy	lols
broh	bro
regulars	lips
retarsh	retarded
sesquipedalophobia	hippopotomonstrosesquippedaliophobia
gotcho	gotcha
swagglestick	dick
hai	hi
chickeeeeeen	chicken
bli-hon	chicks
chinesian	chinese
aus	awesome
tandhak	cold
scan	scanlation
urbam	urban
ya-hoow	yahoo
religionaly	religiously
wiwwy	really
fack	fuck
pertie	pretty
ox	awkward
reunitation	reunion
betched	bitched
zharit	an
heller	hello
wain't	wait
boa	boy
kafer	kfc
abvi	obviously
funnay	funny
patrick	asshole
halp	help
footpost	afterward
juut	cunt
coochie	vagina
focking	fucking
dealio	deal
asiatico	asian
mbe	maybe
impossiblarg	impossible
calzy	d**khead
vagunum	vagina
crunchy	saudy
awk	awkward
madafucka	motherfucker
thundergrass	marijuana
ahnoose	anus
niggre	nigger
sop	sup
lems	send
like	said
tensity	tense
ibiza	saying
guh	girl
neh	no
septic	epic
bruce	nice
pritts	pretty
cummed	cum
couter	vagina
zerk	crazy
gnar	gnarley
jyte	cunt
brekkies	breakfast
stupoo	sucks
booduh	booty
chup	mooch
triangle	perfect
neabs	neighbor
carz	porn
hamburgies	hamburgers
throatflex	deepthroating
ovar	over
momo	moron
confuzzled	confused
twink	white-out
retipid	retarded
moastest	most
cheerue	true
nabatian	nabatian
homosax	homosaxual
stoof	sex
grossd	gross
grossd	gross
womders	boobs
naise	nice
wizard	cool
amoshing	amazing
khl	fml
rusky	husky
brolie	bro
barshit	bullshit
ppt	goodbye
braiden	legendary
shanks	thanks
slice	pizza
normel	normal
dease	decent
tongo	awesome
tongo	awesome
swaig	swag
dimpkleles	booty
mmmm	yes
sarcasticness	sarcasm
scooter!	psyche
karrot	carrot
dsnacks	dip
douchabaga	douchbag
guh	girl
cherimoya	vagina
fakee	fake
junt	joint
dwawg	dog
bossing	bossing
stook	stuck
redoux	redo
durbunk	drunk
beour	bear
stripes	swagga
modu	module
toosys	teeth
brbcopter	brb
olo	lol
chizz	shit
dooish	nigger
mofugs	motherfucker
crimbo	criminal
wingbreh	brother
quonky	sex
shmellommuh	hello
motherhoohaw	motherfucker
fiersome	fearsome
netherjunk	penis
porkward	awkward
jullage	ownage
flaizure	masturbate
tiss	kiss
zoh	animal
fawd	fail
prohibidibi	prohibited
damb	damn
cd	condom
wizard	awesome
fustrated	fustrated
miagamad	omg
thuck	fuck
ysl	gtfo
muship	worship
tuttoo	shit
assisian	assasin
juggalo	scrubs
chey	hello
matamata	awesome
rag	haggard
porkward	awkward
baduky	baduke
nucky	buddy
fadoodle	penis
yaka-taca	pussy
smarticle	someone
hai	hi
sauce	bull-shit
cheddars	cheers
zorp	zing
newb	noob
meth	methamphetamine
k	okay
sop	awesome
guaow	wow
gilsruded	screwed
smexy	sexy
ahain	again
loomine	book
stream	pee
youge	usual
hai	hi
wenn	hench
congradulations	congratulations
monutes	minutes
congradumalations	congradulations
ffwc	fuck
fg	fangirl
crapito	crap
bose	boss
shoup	s**toften
ossum	awesome
fack	fuck
beyooch	bitch
smexy	sexy
jahokes	jokes
thrashed	drunk
foop	shart
slam	dump
bullshitastic	bullshit
nikqua	nigga
fiddy	fifty
creep-o	creep
cocknoggin	dickhead
roy	king
duhfur	duh
robit	robot
sluzza	slut
swag	cool
kicked	drunk
julian	pussy
cock	rooster
bootydancing	grinding
qual	quality
gumingle	gum
rememberize	remember
gherd	god
